block,outcome,n,k,p,wilson_lo,wilson_hi
FIT|above|per_excursion|failed_45,poc_before_stop_20,408,93.0,0.22794117647058823,0.18988341267812864,0.2710743924586035
FIT|above|per_excursion|failed_45,poc_before_stop_30,408,121.0,0.2965686274509804,0.25431263088414924,0.34261978196583975
FIT|above|per_excursion|failed_45,poc_before_stop_40,408,147.0,0.3602941176470588,0.3152118876855553,0.40798266089817203
FIT|above|per_excursion|failed_45,poc_before_stop_60,408,196.0,0.4803921568627451,0.43232143735805717,0.5288286747238695
FIT|above|per_excursion|failed_45,poc_before_stop_80,408,221.0,0.5416666666666666,0.49315398507727853,0.5894020267486274
FIT|above|per_excursion|failed_45,median_t_touched_poc,273,,20.0,,
FIT|above|per_excursion|failed_60,touched_poc,421,284.0,0.6745843230403801,0.6284243933678868,0.7175869200251519
FIT|above|per_excursion|failed_60,reached_opposite_edge,421,161.0,0.3824228028503563,0.3372611934378586,0.42971077917499273
FIT|above|per_excursion|failed_60,poc_before_stop_10,421,65.0,0.1543942992874109,0.12301845735970003,0.1920203712295906
FIT|above|per_excursion|failed_60,poc_before_stop_20,421,95.0,0.22565320665083136,0.18830718698149637,0.267960749115157
FIT|above|per_excursion|failed_60,poc_before_stop_30,421,124.0,0.29453681710213775,0.253008855787418,0.339780550899686
FIT|above|per_excursion|failed_60,poc_before_stop_40,421,150.0,0.35629453681710216,0.3120356881337616,0.4031522783930568
FIT|above|per_excursion|failed_60,poc_before_stop_60,421,201.0,0.47743467933491684,0.43014088749238355,0.5251365617969515
FIT|above|per_excursion|failed_60,poc_before_stop_80,421,229.0,0.5439429928741093,0.4961821077638845,0.5909091751989893
FIT|above|per_excursion|failed_60,median_t_touched_poc,284,,20.0,,
FIT|above|clustered|UNCOND,touched_poc,380,229.0,0.6026315789473684,0.5526380043524287,0.6505708192873226
FIT|above|clustered|UNCOND,reached_opposite_edge,380,132.0,0.3473684210526316,0.30123836929736103,0.3965536365717268
FIT|above|clustered|UNCOND,poc_before_stop_10,380,51.0,0.13421052631578947,0.10357354161560599,0.17216936900169028
FIT|above|clustered|UNCOND,poc_before_stop_20,380,77.0,0.2026315789473684,0.16528505695228193,0.24593040275818198
FIT|above|clustered|UNCOND,poc_before_stop_30,380,101.0,0.2657894736842105,0.2238778147279707,0.31238922876080183
FIT|above|clustered|UNCOND,poc_before_stop_40,380,119.0,0.3131578947368421,0.2685931667922147,0.36146256453028924
FIT|above|clustered|UNCOND,poc_before_stop_60,380,159.0,0.41842105263157897,0.3698803112537696,0.4685947263659153
FIT|above|clustered|UNCOND,poc_before_stop_80,380,185.0,0.4868421052631579,0.4369702097270278,0.5369773769858247
FIT|above|clustered|UNCOND,median_t_touched_poc,229,,21.0,,
FIT|above|clustered|failed_5,touched_poc,207,137.0,0.6618357487922706,0.5949607777528539,0.7228133237527313
FIT|above|clustered|failed_5,reached_opposite_edge,207,78.0,0.37681159420289856,0.3136067863770483,0.44450546471571517
FIT|above|clustered|failed_5,poc_before_stop_10,207,40.0,0.1932367149758454,0.14523760917281775,0.25241446707778936
FIT|above|clustered|failed_5,poc_before_stop_20,207,58.0,0.28019323671497587,0.22344620336149956,0.3449501662353922
FIT|above|clustered|failed_5,poc_before_stop_30,207,77.0,0.3719806763285024,0.30902994303853154,0.4395965139794383
FIT|above|clustered|failed_5,poc_before_stop_40,207,87.0,0.42028985507246375,0.35509821129486624,0.48838618647103954
FIT|above|clustered|failed_5,poc_before_stop_60,207,114.0,0.5507246376811594,0.48265094509055495,0.6169498926947778
FIT|above|clustered|failed_5,poc_before_stop_80,207,125.0,0.6038647342995169,0.5359260822805998,0.6680184903274624
FIT|above|clustered|failed_5,median_t_touched_poc,137,,14.0,,
FIT|above|clustered|failed_10,touched_poc,256,172.0,0.671875,0.6121866754618733,0.7264811898837834
FIT|above|clustered|failed_10,reached_opposite_edge,256,97.0,0.37890625,0.3216837584371457,0.43970933643295984
FIT|above|clustered|failed_10,poc_before_stop_10,256,48.0,0.1875,0.14443726168228893,0.23980298314378978
FIT|above|clustered|failed_10,poc_before_stop_20,256,73.0,0.28515625,0.23334375359169546,0.3433214147262337
FIT|above|clustered|failed_10,poc_before_stop_30,256,93.0,0.36328125,0.30678902090735694,0.42381608620405253
FIT|above|clustered|failed_10,poc_before_stop_40,256,106.0,0.4140625,0.3554287291479055,0.4752373381792662
FIT|above|clustered|failed_10,poc_before_stop_60,256,135.0,0.52734375,0.4662335805704009,0.5876453980073172
FIT|above|clustered|failed_10,poc_before_stop_80,256,150.0,0.5859375,0.5247626618207338,0.6445712708520946
