block,outcome,n,k,p,wilson_lo,wilson_hi
FIT|above|per_excursion|accepted_5,cont_before_stop_30,239,82,0.34309623430962344,0.28581591766980696,0.40534078694752385
FIT|above|per_excursion|accepted_5,cont_before_stop_40,239,84,0.3514644351464435,0.29371972369900196,0.41390862333873785
FIT|above|per_excursion|accepted_5,cont_before_stop_60,239,92,0.38493723849372385,0.3255307074972239,0.447984209222152
FIT|above|per_excursion|accepted_5,cont_before_stop_80,239,97,0.40585774058577406,0.34556630278844785,0.46912771998195063
FIT|above|per_excursion|accepted_5,returned_to_poc,239,115,0.4811715481171548,0.4186257714977535,0.5443130330563262
FIT|above|per_excursion|accepted_10,cont_before_reentry_0.25,179,165,0.9217877094972067,0.8730096608833308,0.952841786489696
FIT|above|per_excursion|accepted_10,cont_before_reentry_0.5,179,135,0.7541899441340782,0.6862105282803095,0.8114880260968127
FIT|above|per_excursion|accepted_10,cont_before_reentry_0.75,179,107,0.5977653631284916,0.524605471535953,0.6668170493783246
FIT|above|per_excursion|accepted_10,cont_before_reentry_1.0,179,83,0.46368715083798884,0.39216240655933654,0.5367377999582175
FIT|above|per_excursion|accepted_10,cont_before_reentry_1.5,179,52,0.2905027932960894,0.22895085667241477,0.3608580270827044
FIT|above|per_excursion|accepted_10,cont_before_reentry_2.0,179,31,0.17318435754189945,0.1247727174194942,0.23532914123849175
FIT|above|per_excursion|accepted_10,cont_before_stop_10,179,59,0.329608938547486,0.2649580941857357,0.4014197979350945
FIT|above|per_excursion|accepted_10,cont_before_stop_20,179,68,0.37988826815642457,0.31201381753316526,0.45280994248643636
FIT|above|per_excursion|accepted_10,cont_before_stop_30,179,78,0.43575418994413406,0.36521707212934634,0.5089909855555568
FIT|above|per_excursion|accepted_10,cont_before_stop_40,179,79,0.441340782122905,0.37058812233382277,0.5145583651176105
FIT|above|per_excursion|accepted_10,cont_before_stop_60,179,85,0.4748603351955307,0.4030032151048605,0.5477738509457538
FIT|above|per_excursion|accepted_10,cont_before_stop_80,179,88,0.49162011173184356,0.4193310856640395,0.5642612696861654
FIT|above|per_excursion|accepted_10,returned_to_poc,179,71,0.39664804469273746,0.32787643057251203,0.4697626187466801
FIT|above|per_excursion|accepted_15,cont_before_reentry_0.25,160,151,0.94375,0.8965627172808032,0.9701280376922926
FIT|above|per_excursion|accepted_15,cont_before_reentry_0.5,160,131,0.81875,0.7518173600355944,0.8707351541000097
FIT|above|per_excursion|accepted_15,cont_before_reentry_0.75,160,106,0.6625,0.586183801320542,0.7311959117681972
FIT|above|per_excursion|accepted_15,cont_before_reentry_1.0,160,82,0.5125,0.43566815412418414,0.5887456699595649
FIT|above|per_excursion|accepted_15,cont_before_reentry_1.5,160,52,0.325,0.2572664012140889,0.4009400616134225
FIT|above|per_excursion|accepted_15,cont_before_reentry_2.0,160,31,0.19375,0.1399860458395876,0.26187526410855744
FIT|above|per_excursion|accepted_15,cont_before_stop_10,160,58,0.3625,0.2920431858352033,0.43940474924355566
FIT|above|per_excursion|accepted_15,cont_before_stop_20,160,67,0.41875,0.3450865506167644,0.49622359283886586
FIT|above|per_excursion|accepted_15,cont_before_stop_30,160,77,0.48125,0.4051800943622811,0.558199169512095
FIT|above|per_excursion|accepted_15,cont_before_stop_40,160,78,0.4875,0.41125433004043505,0.5643318458758158
FIT|above|per_excursion|accepted_15,cont_before_stop_60,160,83,0.51875,0.44180083048790497,0.5948199056377189
FIT|above|per_excursion|accepted_15,cont_before_stop_80,160,86,0.5375,0.4602691816412529,0.6129722906099946
FIT|above|per_excursion|accepted_15,returned_to_poc,160,57,0.35625,0.28621336963409916,0.43302765340278515
FIT|above|per_excursion|accepted_20,cont_before_reentry_0.25,145,138,0.9517241379310345,0.9037088518303072,0.9764214343262511
FIT|above|per_excursion|accepted_20,cont_before_reentry_0.5,145,122,0.8413793103448276,0.7732198599307624,0.8919167685386978
FIT|above|per_excursion|accepted_20,cont_before_reentry_0.75,145,101,0.696551724137931,0.6174440993354627,0.7655133534196809
FIT|above|per_excursion|accepted_20,cont_before_reentry_1.0,145,79,0.5448275862068965,0.463658273260272,0.6236829001751115
FIT|above|per_excursion|accepted_20,cont_before_reentry_1.5,145,52,0.3586206896551724,0.2851339669748648,0.4394054091135404
FIT|above|per_excursion|accepted_20,cont_before_reentry_2.0,145,31,0.21379310344827587,0.15490148025035644,0.2874587201237325
FIT|above|per_excursion|accepted_20,cont_before_stop_10,145,56,0.38620689655172413,0.310869295828213,0.46741849468196683
FIT|above|per_excursion|accepted_20,cont_before_stop_20,145,65,0.4482758620689655,0.369703241810949,0.5295184811482236
FIT|above|per_excursion|accepted_20,cont_before_stop_30,145,74,0.5103448275862069,0.4297671411640899,0.5903885142440755
FIT|above|per_excursion|accepted_20,cont_before_stop_40,145,75,0.5172413793103449,0.43651548037286786,0.5970772786407412
FIT|above|per_excursion|accepted_20,cont_before_stop_60,145,79,0.5448275862068965,0.463658273260272,0.6236829001751115
FIT|above|per_excursion|accepted_20,cont_before_stop_80,145,81,0.5586206896551724,0.4773198889120115,0.6368954917342594
FIT|above|per_excursion|accepted_20,returned_to_poc,145,48,0.3310344827586207,0.25966796165988626,0.4111230000067445
FIT|above|per_excursion|accepted_30,cont_before_reentry_0.25,131,127,0.9694656488549618,0.9241181801775892,0.988063223780833
FIT|above|per_excursion|accepted_30,cont_before_reentry_0.5,131,112,0.8549618320610687,0.7845576618187147,0.9051404728815557
FIT|above|per_excursion|accepted_30,cont_before_reentry_0.75,131,93,0.7099236641221374,0.6271138627153618,0.780772130924583
FIT|above|per_excursion|accepted_30,cont_before_reentry_1.0,131,76,0.5801526717557252,0.4945347892216716,0.6612034992590345
FIT|above|per_excursion|accepted_30,cont_before_reentry_1.5,131,51,0.3893129770992366,0.3101054456646504,0.4748273940524694
FIT|above|per_excursion|accepted_30,cont_before_reentry_2.0,131,30,0.22900763358778625,0.16538500851400117,0.30807125424170617
