day,weekday,fill,window,branch,bias,conviction,counter,dir,pattern,entry,stop_dist,padded,derisk,target_kind,tgt_dist,reason,exit,exit_t,pts,R,dollars
2023-05-02,Tuesday,09:52,intime,E3bal,BEARISH,MEDIUM,True,long,A,13303.25,20.0,True,False,4R cap (no draw in dir),80.0,stop,13283.0,09:58,-20.25,-1.012,-410.0
2023-05-04,Thursday,10:06,intime,E3bal,BEARISH,MEDIUM,True,long,A,13053.75,20.0,True,False,4R cap (no draw in dir),80.0,stop,13033.5,10:16,-20.25,-1.012,-410.0
2023-05-08,Monday,08:26,premarket,E3bal,BULLISH,MEDIUM,True,short,B,13310.5,6.0,False,False,4R cap (no draw in dir),24.0,stop,13316.75,08:27,-6.25,-1.042,-130.0
2023-05-08,Monday,08:34,premarket,E3bal,BULLISH,MEDIUM,True,short,B,13311.0,5.5,False,False,4R cap (no draw in dir),22.0,4R cap (no draw in dir),13289.0,08:47,22.0,4.0,435.0
2023-05-08,Monday,10:06,intime,E3bal,BEARISH,MEDIUM,False,short,B,13280.5,20.0,True,False,4R cap,80.0,stop,13300.75,11:09,-20.25,-1.012,-410.0
2023-05-09,Tuesday,09:43,intime,E3bal,BEARISH,MEDIUM,True,long,A,13290.75,20.0,True,False,4R cap (no draw in dir),80.0,stop,13270.5,11:12,-20.25,-1.012,-410.0
2023-05-10,Wednesday,09:58,intime,E3bal,BULLISH,MEDIUM,True,short,A,13368.0,20.0,True,False,4R cap (no draw in dir),80.0,stop,13388.25,10:00,-20.25,-1.012,-410.0
2023-05-11,Thursday,10:07,intime,E3bal,BULLISH,MEDIUM,True,short,B,13388.25,20.0,True,False,4R cap (no draw in dir),80.0,stop,13408.5,10:16,-20.25,-1.012,-410.0
2023-05-12,Friday,08:33,premarket,E4war,BULLISH,MEDIUM,False,long,B,13464.0,10.25,False,False,draw:equal-highs,3.0,draw:equal-highs,13467.0,08:35,3.0,0.293,55.0
2023-05-12,Friday,08:35,premarket,E4war,BULLISH,MEDIUM,False,long,B,13466.25,12.5,False,False,draw:equal-highs,0.75,draw:equal-highs,13467.0,08:35,0.75,0.06,10.0
2023-05-12,Friday,09:44,intime,E4war,BULLISH,MEDIUM,False,long,A,13477.25,20.0,True,False,draw:equal-highs,15.0,stop,13457.0,09:48,-20.25,-1.012,-410.0
2023-05-15,Monday,08:03,premarket,E4war,BULLISH,MEDIUM,False,long,B,13434.75,5.25,False,False,draw:equal-highs,10.37,stop,13429.25,08:06,-5.5,-1.048,-115.0
2023-05-15,Monday,08:10,premarket,E4war,BULLISH,MEDIUM,False,long,B,13436.0,7.0,False,False,draw:equal-highs,9.12,stop,13428.75,08:21,-7.25,-1.036,-150.0
2023-05-17,Wednesday,08:00,premarket,E3bal,BULLISH,MEDIUM,False,long,B,13516.75,6.75,False,False,4R cap,27.0,stop,13509.75,08:06,-7.0,-1.037,-145.0
2023-05-17,Wednesday,08:36,premarket,E3bal,BULLISH,MEDIUM,True,short,B,13498.0,6.5,False,False,4R cap (no draw in dir),26.0,stop,13504.75,08:43,-6.75,-1.038,-140.0
2023-05-17,Wednesday,09:52,intime,E3bal,BULLISH,MEDIUM,True,short,A,13495.25,15.0,False,False,4R cap (no draw in dir),60.0,stop,13510.5,10:14,-15.25,-1.017,-310.0
2023-05-22,Monday,08:12,premarket,E3bal,BULLISH,MEDIUM,True,short,B,13854.5,6.5,False,False,4R cap (no draw in dir),26.0,stop,13861.25,08:15,-6.75,-1.038,-140.0
2023-05-22,Monday,08:16,premarket,E3bal,BULLISH,MEDIUM,False,long,B,13861.25,5.25,False,False,draw:PDH,12.75,stop,13855.75,08:46,-5.5,-1.048,-115.0
2023-05-22,Monday,09:59,intime,E3bal,BULLISH,MEDIUM,False,long,A,13932.25,20.0,True,False,draw:PWH,28.0,stop,13912.0,10:04,-20.25,-1.012,-410.0
2023-05-22,Monday,10:11,intime,E3bal,BULLISH,MEDIUM,False,long,B,13901.25,29.25,False,False,draw:equal-highs,29.13,stop,13871.75,13:15,-29.5,-1.009,-595.0
2023-05-25,Thursday,08:05,premarket,E4war,BULLISH,MEDIUM,False,long,B2,13942.25,13.75,False,False,draw:equal-highs,2.5,draw:equal-highs,13944.75,08:05,2.5,0.182,45.0
2023-05-25,Thursday,08:09,premarket,E4war,BULLISH,MEDIUM,False,long,B2,13935.25,5.0,False,False,draw:equal-highs,9.5,draw:equal-highs,13944.75,08:11,9.5,1.9,185.0
2023-05-25,Thursday,09:55,intime,E4war,BULLISH,MEDIUM,False,long,B2,13879.5,20.0,True,False,4R cap (no draw in dir),80.0,stop,13859.25,10:20,-20.25,-1.012,-410.0
2023-05-29,Monday,08:00,premarket,E4war,BEARISH,MEDIUM,False,short,B,14380.25,5.75,False,False,4R cap,23.0,stop,14386.25,08:21,-6.0,-1.043,-125.0
2023-05-29,Monday,08:34,premarket,E4war,BEARISH,MEDIUM,False,short,B,14379.5,8.0,False,False,4R cap,32.0,stop,14387.75,10:47,-8.25,-1.031,-170.0
2023-05-30,Tuesday,08:34,premarket,E4war,BULLISH,LOW,False,long,B2,14531.5,7.25,False,False,4R cap (no draw in dir),29.0,stop,14524.0,08:45,-7.5,-1.034,-155.0
2023-05-30,Tuesday,08:56,premarket,E4war,BULLISH,LOW,False,long,B,14532.0,7.0,False,False,4R cap (no draw in dir),28.0,stop,14524.75,08:59,-7.25,-1.036,-150.0
2023-05-30,Tuesday,09:41,intime,E4war,BULLISH,LOW,False,long,B2,14545.25,20.0,True,False,4R cap (no draw in dir),80.0,stop,14525.0,09:42,-20.25,-1.012,-410.0
2023-05-30,Tuesday,09:43,intime,E4war,BULLISH,LOW,False,long,B2,14530.25,20.0,True,False,draw:LondonH,9.5,stop,14510.0,09:43,-20.25,-1.012,-410.0
2023-05-31,Wednesday,09:27,premarket,E4war,BEARISH,MEDIUM,False,short,B2,14322.75,7.25,False,False,4R cap,29.0,stop,14330.25,09:29,-7.5,-1.034,-155.0
