day,time,bias,tier,score,direction,draws
2023-04-12,08:30,NEUTRAL,NEUTRAL,4,bullish,13066.50:AsiaL|13093.75:AsiaH|13100.75:LondonH
2023-04-12,08:45,BULLISH,LOW,3,bullish,13208.75:PDH|13348.75:PWH
2023-04-12,09:30,BULLISH,MEDIUM,4,bullish,13167.75:equal-highs|13172.88:equal-highs|13208.75:PDH
2023-04-12,09:45,BULLISH,MEDIUM,4,bullish,13164.00:equal-highs|13170.88:equal-highs|13208.75:PDH
2023-04-12,10:00,NEUTRAL,NEUTRAL,2,bearish,13053.50:PDL|13038.50:LondonL|12953.25:PWL
2023-04-13,08:00,BULLISH,MEDIUM,5,bullish,13098.62:equal-highs|13164.62:equal-highs|13173.50:equal-highs
2023-04-13,09:30,BULLISH,MEDIUM,5,bullish,13098.62:equal-highs|13164.62:equal-highs|13173.50:equal-highs
2023-04-13,10:15,BULLISH,MEDIUM,4,bullish,13164.62:equal-highs|13173.50:equal-highs|13241.75:PDH
2023-04-14,08:00,NEUTRAL,NEUTRAL,4,bearish,13128.00:equal-lows|13121.00:LondonL|13072.00:equal-lows
2023-04-14,08:45,BEARISH,MEDIUM,5,bearish,13072.00:equal-lows|13064.00:equal-lows|12964.62:equal-lows
2023-04-14,09:30,BEARISH,MEDIUM,5,bearish,13128.00:equal-lows|13121.00:LondonL|13072.00:equal-lows
2023-04-14,10:00,NEUTRAL,NEUTRAL,2,bullish,13348.75:PWH
2023-04-17,08:00,BULLISH,LOW,3,bullish,13214.75:PDH|13196.00:AsiaH|13255.00:PWH
2023-04-17,08:45,BULLISH,LOW,3,bullish,13214.75:PDH|13196.00:AsiaH|13255.00:PWH
2023-04-17,09:30,BULLISH,MEDIUM,4,bullish,13174.00:PDL|13203.00:equal-highs|13214.75:PDH
2023-04-17,09:45,BULLISH,MEDIUM,4,bullish,13203.00:equal-highs|13214.75:PDH|13196.00:AsiaH
2023-04-18,08:00,BULLISH,LOW,3,bullish,13293.75:LondonH
2023-04-18,08:45,BULLISH,LOW,3,bullish,
2023-04-18,09:30,BULLISH,LOW,3,bullish,13293.75:LondonH
2023-04-18,10:00,BEARISH,MEDIUM,5,bearish,13218.00:PDH|13183.50:AsiaH|13177.50:LondonL
2023-04-19,08:00,NEUTRAL,NEUTRAL,4,bearish,13065.00:LondonL|12925.50:PWL
