ts_event,open,high,low,close,volume
2026-07-28 14:44:00+00:00,27782.25,27793.0,27768.25,27772.25,1518.0
2026-07-28 14:45:00+00:00,27770.75,27784.5,27745.75,27750.5,1694.0
2026-07-28 14:46:00+00:00,27749.25,27783.25,27745.5,27782.0,1550.0
2026-07-28 14:47:00+00:00,27782.25,27811.25,27779.75,27807.0,2076.0
2026-07-28 14:48:00+00:00,27805.25,27844.75,27803.75,27840.0,2743.0
2026-07-28 14:49:00+00:00,27839.75,27856.5,27834.5,27851.25,1840.0
2026-07-28 14:50:00+00:00,27850.25,27877.75,27847.75,27862.75,2407.0
2026-07-28 14:51:00+00:00,27863.25,27888.5,27857.25,27882.75,1895.0
2026-07-28 14:52:00+00:00,27882.5,27888.5,27852.0,27858.25,2462.0
2026-07-28 14:53:00+00:00,27858.75,27890.0,27858.0,27875.75,1901.0
2026-07-28 14:54:00+00:00,27875.0,27875.25,27850.0,27853.25,1598.0
2026-07-28 14:55:00+00:00,27853.25,27876.0,27838.75,27859.25,2489.0
2026-07-28 14:56:00+00:00,27860.25,27862.75,27836.25,27844.75,1421.0
2026-07-28 14:57:00+00:00,27844.5,27844.5,27809.25,27820.0,1900.0
2026-07-28 14:58:00+00:00,27819.5,27824.25,27810.0,27812.5,1225.0
2026-07-28 14:59:00+00:00,27812.5,27822.0,27797.25,27801.75,1467.0
2026-07-28 15:00:00+00:00,27803.0,27835.25,27799.5,27832.75,1869.0
2026-07-28 15:01:00+00:00,27832.75,27838.0,27809.0,27821.5,1427.0
2026-07-28 15:02:00+00:00,27821.25,27828.5,27798.75,27812.0,1469.0
2026-07-28 15:03:00+00:00,27812.0,27819.25,27793.5,27796.5,1196.0
2026-07-28 15:04:00+00:00,27797.75,27807.25,27779.5,27780.25,1534.0
2026-07-28 15:05:00+00:00,27781.0,27798.0,27768.0,27798.0,1399.0
2026-07-28 15:06:00+00:00,27796.75,27837.25,27796.25,27810.75,1869.0
