tape,tf,sess,trend,W,U,buf,tgt,dolk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2020-22,3,NY,SIDE,1.0,0.5,2,R3,10,253,0.015287123598189279,3.8676422703418876,0.24110671936758893,0.25,-0.008893280632411071,3.0,20.5,0.14033955836337045,0.006764708148022878,0.02374243341488978,-0.02026987855399716,0.06324110671936758
2020-22,3,NY,SIDE,1.0,0.5,2,DOL,10,253,-0.05735209456776137,-14.510079925643627,0.4268774703557312,0.4823232323232324,-0.05544576196750117,1.0732984293193717,20.5,-0.6697592236161242,-0.12949786228415833,0.014225596237482933,-0.12592163762563827,0.0
2020-22,3,NY,SIDE,2.0,0.5,2,R1,10,137,-0.03916489247139773,-5.36559026858149,0.5255474452554745,0.5,0.025547445255474477,1.0,18.25,-0.4505183107338115,-0.01622818050124402,-0.06176918832604199,-0.06202968481050117,0.0
2020-22,3,NY,SIDE,2.0,0.5,2,R2,10,137,0.020660549630344326,2.830495299357173,0.35766423357664234,0.3333333333333333,0.024330900243309028,2.0,18.25,0.16658653534647475,-0.026502153103983756,0.0671397349337401,-0.0231100889936474,0.021897810218978103
2020-22,3,NY,SIDE,2.0,0.5,2,R3,10,137,0.05123375766614272,7.019024800261553,0.25547445255474455,0.25,0.005474452554744547,3.0,18.25,0.3386193941152853,0.04355279195096126,0.05880340503762591,-0.014223380947425472,0.058394160583941604
2020-22,3,NY,SIDE,2.0,0.5,2,DOL,10,137,0.011201994980458778,1.5346733123228526,0.45255474452554745,0.5,-0.04744525547445255,1.0,18.25,0.0907348477311361,-0.06518245449793698,0.08647942345192121,-0.11153960758328849,0.0
2020-22,3,NY,HHHL,1.0,0.5,2,R1,10,212,-0.044629799343729785,-9.461517460870715,0.5141509433962265,0.5,0.014150943396226467,1.0,21.125,-0.6484409284791682,-0.11568317267220815,0.026423573984748587,-0.05938344679871266,0.0047169811320754715
2020-22,3,NY,HHHL,1.0,0.5,2,R2,10,212,-0.0641764366456577,-13.605404568879433,0.330188679245283,0.3333333333333333,-0.0031446540880503138,2.0,21.125,-0.6637815328915331,-0.1788777966060412,0.0505249233147258,-0.09351116284467009,0.018867924528301886
2020-22,3,NY,HHHL,1.0,0.5,2,R3,10,212,-0.1308380051526715,-27.73765709236636,0.21226415094339623,0.25,-0.037735849056603765,3.0,21.125,-1.151525777475405,-0.23086495035955384,-0.030811059945789192,-0.17546588369444893,0.05188679245283019
2020-22,3,NY,HHHL,1.0,0.5,2,DOL,10,212,-0.15249106067357987,-32.32810486279893,0.38207547169811323,0.4412685879721016,-0.05919311627398838,1.2661934868185614,21.125,-1.7384917629349415,-0.2656463340066411,-0.03933578734051859,-0.2161374256216211,0.0047169811320754715
2020-22,3,NY,HHHL,2.0,0.5,2,R1,10,121,-0.09868171544524,-11.94048756887404,0.48760330578512395,0.5,-0.012396694214876047,1.0,19.5,-1.0775644524844306,-0.17004940750977976,-0.0284839855456927,-0.12608276399196763,0.008264462809917356
2020-22,3,NY,HHHL,2.0,0.5,2,R2,10,121,-0.09062587280236485,-10.965730609086147,0.32231404958677684,0.3333333333333333,-0.011019283746556474,2.0,19.5,-0.7095969462418453,-0.28169324312621813,0.09730924554896624,-0.14322409499033556,0.024793388429752067
2020-22,3,NY,HHHL,2.0,0.5,2,R3,10,121,-0.09117492100903686,-11.03216544209346,0.23140495867768596,0.25,-0.018595041322314043,3.0,19.5,-0.5858894665615512,-0.3483599097928848,0.1617939204176987,-0.16921083086327887,0.04132231404958678
2020-22,3,NY,HHHL,2.0,0.5,2,DOL,10,121,-0.1869379049559429,-22.61948649966909,0.35537190082644626,0.4119601328903654,-0.056588232063919164,1.4274193548387097,19.5,-1.535260005197961,-0.3786996695322584,0.0016802241355150498,-0.30054325077787253,0.008264462809917356
2020-22,3,NY,NONE,1.0,0.5,2,R1,10,777,-0.0662467215761788,-51.47370266469092,0.5045045045045045,0.5,0.0045045045045044585,1.0,21.0,-1.8399668862177665,-0.09320576960978673,-0.039495050835137116,-0.07032532265602394,0.002574002574002574
2020-22,3,NY,NONE,1.0,0.5,2,R2,10,777,-0.0391543912586329,-30.42296200795776,0.33204633204633205,0.3333333333333333,-0.001287001287001266,2.0,21.0,-0.7739454228191349,-0.11219265967068844,0.03332204431948376,-0.04698713555134407,0.02702702702702703
2020-22,3,NY,NONE,1.0,0.5,2,R3,10,777,-0.032413887697763814,-25.185590741162486,0.23680823680823682,0.25,-0.013191763191763184,3.0,21.0,-0.529702342335253,-0.09879694812963992,0.033458533807713256,-0.04409570441040258,0.05276705276705277
2020-22,3,NY,NONE,1.0,0.5,2,DOL,10,777,-0.05042160517461678,-39.17758722067724,0.3886743886743887,0.42213114754098363,-0.03345675886659494,1.3689320388349515,21.0,-0.9492123673007677,-0.08150021479702109,-0.019582061780077126,-0.0840439719509245,0.003861003861003861
2020-22,3,NY,NONE,2.0,0.5,2,R1,10,423,-0.04678143155754245,-19.788545548840457,0.5177304964539007,0.5,0.01773049645390068,1.0,18.75,-0.9588899711372665,-0.08502644354817783,-0.00871682056686292,-0.054154054984048135,0.002364066193853428
2020-22,3,NY,NONE,2.0,0.5,2,R2,10,423,-0.014127642736505623,-5.975992877541879,0.34515366430260047,0.3333333333333333,0.011820330969267157,2.0,18.75,-0.20413962606032646,-0.09307682334432141,0.0644491360759903,-0.02837085669037116,0.02364066193853428
2020-22,3,NY,NONE,2.0,0.5,2,R3,10,423,-0.000764473487067694,-0.32337228502963455,0.25295508274231676,0.25,0.0029550827423167614,3.0,18.75,-0.009021886088061563,-0.10608647105090106,0.10406072220146456,-0.02205465479684074,0.04018912529550828
2020-22,3,NY,NONE,2.0,0.5,2,DOL,10,423,-0.013882790927488477,-5.872420562327626,0.3900709219858156,0.40443213296398894,-0.014361210978173333,1.4726027397260273,18.75,-0.18202050471702702,-0.07083597462525199,0.04280174567736105,-0.07558301817063316,0.004728132387706856
2017-19,1,NY,SLOPE,1.0,0.5,2,R1,10,1178,-0.34874293081014857,-410.81917249435503,0.5195246179966044,0.5,0.019524617996604432,1.0,3.5,-11.751250102404441,-0.44266428219258164,-0.25482157942771555,-0.3520454417621978,0.0
2017-19,1,NY,SLOPE,1.0,0.5,2,R2,10,1178,-0.366569755937483,-431.819172494355,0.3404074702886248,0.3333333333333333,0.007074136955291466,2.0,3.5,-8.778641612812129,-0.4800157253165204,-0.2531237865584456,-0.37246819242274565,0.0
