tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2026-01-13,2026-01-13 09:51:00,357237,1,25988.25,47.5,STOP,-1.0157894736842106,-26.0,-0.006842105263157895,305.0,0.04802393323886002,0.5983309715005511,1.5765173141367754,
2023-26,2026-01-14,2026-01-14 10:21:00,357707,-1,25652.0,37.5,TARGET,2.98,-93.0,-0.027058481233633982,106.0,0.02423411065386374,0.7857796067672611,0.558227468112693,
2023-26,2026-01-15,2026-01-15 10:18:00,358166,-1,25870.5,25.25,STOP,-1.0297029702970297,-136.0,-0.1261595547309833,21.0,0.00627427547057066,0.32207947415596055,0.5430400181716409,
2023-26,2026-01-15,2026-01-15 10:24:00,358168,-1,25875.5,40.75,STOP,-1.01840490797546,-150.0,-0.04584352078239609,-88.0,-0.013273001508295626,0.4935143288084465,1.0329033464198916,
2023-26,2026-01-20,2026-01-20 10:15:00,359465,1,25288.25,24.0,STOP,-1.03125,104.0,0.03412073490813648,223.0,0.052931402800854496,0.7234749584619037,0.6459031221972665,
2023-26,2026-01-26,2026-01-26 09:30:00,361290,1,25755.0,51.25,TARGET,2.9853658536585366,-376.0,-0.05667772083207718,85.0,0.0074281219959800755,0.5797430743686096,8.869167570919236,
2023-26,2026-02-04,2026-02-04 09:36:00,364512,-1,25337.0,47.75,STOP,-1.0157068062827226,53.0,0.010726573568103623,343.0,0.03178574738207766,0.4578815679733111,3.780214390807819,
2023-26,2026-02-04,2026-02-04 09:42:00,364514,-1,25330.5,60.0,TARGET,2.9875,-216.0,-0.04468349193214729,-68.0,-0.01176063645797302,0.8360428917329644,1.6543160424594432,
2023-26,2026-02-04,2026-02-04 09:48:00,364516,-1,25292.25,80.0,TARGET,2.990625,498.0,0.08375378405650857,570.0,0.08217993079584775,0.8572664359861591,1.7152395672333849,
2023-26,2026-02-04,2026-02-04 10:24:00,364528,-1,25249.5,56.0,TARGET,2.986607142857143,-183.0,-0.04165718188026406,-33.0,-0.005996729056878067,0.7982918408141014,0.7039499413375049,
2023-26,2026-02-04,2026-02-04 10:27:00,364529,-1,25248.5,26.75,TARGET,2.97196261682243,13.0,0.010647010647010647,85.0,0.02174469173701714,0.3123561013046815,0.4954399175750792,
2023-26,2026-02-13,2026-02-13 09:54:00,367738,-1,24692.75,110.75,STOP,-1.0067720090293453,-310.0,-0.044501866207292566,-204.0,-0.02406795658329401,0.8218499292118924,1.346331077001303,
2023-26,2026-02-17,2026-02-17 09:30:00,368570,1,24666.75,61.5,STOP,-1.0121951219512195,-204.0,-0.035269709543568464,8.0,0.0005881488016468167,0.42523158359064844,7.909686817188638,
2023-26,2026-02-18,2026-02-18 09:33:00,369031,-1,24782.75,51.5,STOP,-1.0145631067961165,6.0,0.001007725898555593,230.0,0.025732826135600805,0.6661445513537704,4.209127370244678,
2023-26,2026-02-20,2026-02-20 10:15:00,369965,1,24963.75,103.5,FLAT,-0.18115942028985507,-292.0,-0.04927438407019912,-183.0,-0.023524874662553028,0.7617945751381926,1.1577238678163488,
2023-26,2026-02-23,2026-02-23 10:21:00,370427,-1,24889.0,41.5,TARGET,2.9819277108433737,-304.0,-0.11647509578544062,31.0,0.006231155778894473,0.5246231155778894,0.7918002912551826,
2023-26,2026-02-25,2026-02-25 10:21:00,371347,1,25302.0,19.75,STOP,-1.0379746835443038,-262.0,-0.14835787089467722,171.0,0.04438100181676616,0.45834414741759666,0.7506770315818185,
2023-26,2026-03-06,2026-03-06 10:09:00,374563,1,24727.25,63.25,TARGET,2.9881422924901186,-19.0,-0.0030859184667857724,-17.0,-0.0026683409197928113,0.9664102966567258,1.1630662149904667,
2023-26,2026-03-10,2026-03-10 09:42:00,375474,1,25029.25,70.25,STOP,-1.01067615658363,-201.0,-0.045260076559333486,-68.0,-0.011513714866237725,0.7519471723670843,2.5335320417287632,
2023-26,2026-03-11,2026-03-11 10:12:00,375944,1,25102.5,45.0,STOP,-1.0166666666666666,-124.0,-0.06873614190687362,111.0,0.029466418900982214,0.4788956729492965,0.875649414800265,
2023-26,2026-03-17,2026-03-17 10:21:00,377787,1,25066.25,19.0,STOP,-1.0394736842105263,-98.0,-0.05190677966101695,82.0,0.030597014925373135,0.7044776119402985,0.6242616260337235,
2023-26,2026-04-09,2026-04-09 09:39:00,385438,1,25074.25,31.75,STOP,-1.0236220472440944,-225.0,-0.13043478260869565,98.0,0.026615969581749048,0.46849538294405213,1.9658826984169357,
2023-26,2026-04-10,2026-04-10 09:39:00,385898,1,25329.25,39.25,STOP,-1.019108280254777,-181.0,-0.03336405529953917,-129.0,-0.023484434735117424,0.9876206080466048,2.8314432989690723,
2023-26,2026-04-13,2026-04-13 10:21:00,386372,1,25277.5,32.5,FLAT,2.1153846153846154,-471.0,-0.20016999575010624,-216.0,-0.033983637507866586,0.37020138451856516,1.205545623977787,
2023-26,2026-04-24,2026-04-24 09:33:00,390496,-1,27201.5,44.25,STOP,-1.0169491525423728,-187.0,-0.03697844571880562,2.0,0.00032711808963035657,0.8271180896303566,3.082314382957267,
2023-26,2026-04-24,2026-04-24 10:00:00,390505,-1,27180.5,44.25,STOP,-1.0169491525423728,-270.0,-0.1303088803088803,145.0,0.026140255994231115,0.37353524427618534,1.4505914372448445,
2023-26,2026-04-27,2026-04-27 09:30:00,390955,-1,27389.25,46.25,FLAT,0.9675675675675676,-357.0,-0.14320096269554752,407.0,0.03639452740767236,0.22292765805240097,6.704637429179532,
2023-26,2026-04-27,2026-04-27 10:03:00,390966,-1,27378.5,25.25,STOP,-1.0297029702970297,-199.0,-0.08959927960378208,-5.0,-0.0014983518130056938,0.6655678753371291,0.8149658700987874,
2023-26,2026-04-27,2026-04-27 10:06:00,390967,-1,27377.75,26.0,STOP,-1.0288461538461537,-2.0,-0.0006049606775559589,161.0,0.041271468854139966,0.8474750064086132,0.9245828593098218,
2023-26,2026-04-27,2026-04-27 10:24:00,390973,-1,27365.0,18.75,STOP,-1.04,-134.0,-0.06986444212721585,-78.0,-0.023622047244094488,0.5808600847970927,0.652756224609819,
2023-26,2026-04-27,2026-04-27 10:27:00,390974,-1,27359.5,14.25,STOP,-1.0526315789473684,-150.0,-0.21067415730337077,29.0,0.012860310421286032,0.31574279379157427,0.4452342168912582,
2023-26,2026-04-28,2026-04-28 10:15:00,391430,1,27210.5,34.0,STOP,-1.0220588235294117,-267.0,-0.09241952232606439,178.0,0.043057571359458154,0.6988388969521045,0.79879427279578,
2023-26,2026-05-04,2026-05-04 09:36:00,393257,-1,27824.0,31.25,STOP,-1.024,-159.0,-0.048167222053923056,-60.0,-0.01303780964797914,0.717296827466319,2.296120743420232,
