trading_date,entry_price,n_bars,prev_poc,midnight_open,day_open,prev_val,prev_vah,R_long,MFE_long,MAE_long,pts_long,stopped_long,R_short,MFE_short,MAE_short,pts_short,stopped_short
2024-06-19,20242.75,210,20197.75,20220.0,20204.5,20171.75,20209.25,-0.39166666666666666,9.75,19.25,-11.75,False,0.39166666666666666,19.25,9.75,11.75,False
2024-06-20,20245.75,391,20236.0,20290.0,20232.0,20227.0,20246.0,-1.0,9.0,30.0,-211.5,True,7.05,287.5,17.5,211.5,False
2024-06-21,20017.0,391,20029.0,20053.75,20043.25,19958.5,20201.5,-1.0,0.0,30.0,-28.25,True,-1.0,102.75,30.0,28.25,True
2024-06-24,19922.5,391,19996.5,19963.25,20014.75,19960.5,20026.0,-1.0,42.75,30.0,-177.25,True,-1.0,13.5,30.0,177.25,True
2024-06-25,19830.0,391,19895.5,19794.0,19756.0,19821.5,19971.0,-1.0,8.75,30.0,138.5,True,-1.0,37.75,30.0,-138.5,True
2024-06-26,19929.25,391,19955.25,19990.5,19973.0,19843.75,19973.75,1.775,98.75,17.25,53.25,False,-1.0,10.0,30.0,-53.25,True
2024-06-27,19990.5,391,19981.75,19912.0,19946.0,19947.25,20006.75,-1.0,126.25,30.0,70.25,True,-1.0,0.75,30.0,-70.25,True
2024-06-28,20070.5,391,20034.0,20131.0,20063.25,19986.5,20071.5,-1.0,4.5,30.0,-125.25,True,-1.0,31.25,30.0,125.25,True
2024-07-01,19971.75,391,20120.5,19995.75,19970.0,19987.5,20148.5,-1.0,14.0,30.0,79.5,True,-1.0,160.0,30.0,-79.5,True
2024-07-02,19982.25,391,20004.0,19982.0,20045.75,19902.5,20021.0,8.783333333333333,277.0,5.5,263.5,False,-1.0,5.5,30.0,-263.5,True
2024-07-03,20216.25,225,20089.25,20235.75,20241.0,19950.75,20156.25,6.775,219.0,0.25,203.25,False,-1.0,0.25,30.0,-203.25,True
2024-07-04,20405.25,210,20245.75,20404.0,20419.25,20206.75,20332.25,-1.0,1.0,30.0,-24.0,True,0.8,35.5,1.0,24.0,False
2024-07-05,20441.5,391,20404.75,20414.0,20381.25,20384.25,20410.25,5.716666666666667,198.0,13.25,171.5,False,-1.0,1.25,30.0,-171.5,True
2024-07-08,20632.5,391,20615.75,20597.25,20591.5,20491.75,20639.5,-1.0,12.25,30.0,32.0,True,-1.0,44.5,30.0,-32.0,True
2024-07-09,20723.25,391,20631.25,20734.25,20681.0,20608.25,20653.25,-1.0,48.5,30.0,-41.0,True,-1.0,2.0,30.0,41.0,True
2024-07-10,20758.0,391,20719.25,20709.5,20686.0,20666.25,20742.25,-1.0,10.0,30.0,133.0,True,-1.0,36.5,30.0,-133.0,True
2024-07-11,20894.5,391,20752.25,20883.5,20895.5,20697.25,20849.25,-1.0,7.75,30.0,-479.0,True,15.966666666666667,517.25,7.75,479.0,False
2024-07-12,20443.25,391,20880.5,20420.25,20432.75,20483.0,20983.5,3.441666666666667,297.75,18.0,103.25,False,-1.0,18.0,30.0,-103.25,True
2024-07-15,20610.0,391,20431.75,20575.5,20580.0,20403.25,20634.75,-1.0,187.0,30.0,-10.75,True,-1.0,9.25,30.0,10.75,True
2024-07-16,20649.25,391,20626.25,20647.75,20628.0,20580.25,20686.75,-1.0,35.25,30.0,-52.75,True,-1.0,18.25,30.0,52.75,True
2024-07-17,20260.5,391,20567.0,20535.5,20591.0,20509.0,20605.0,-1.0,21.0,30.0,-291.0,True,9.7,293.0,21.0,291.0,False
2024-07-18,20141.5,391,20053.0,20051.25,20024.25,19987.5,20210.5,-1.0,7.75,30.0,-258.0,True,8.6,382.75,7.75,258.0,False
2024-07-19,19868.5,391,19841.5,19956.0,19955.0,19773.0,20034.5,-1.0,12.0,30.0,-142.5,True,-1.0,32.75,30.0,142.5,True
2024-07-23,19957.75,391,19979.5,19933.25,19982.0,19887.5,20027.0,-1.0,90.0,30.0,-16.0,True,-1.0,24.25,30.0,16.0,True
2024-07-25,19217.0,391,19321.25,19267.75,19260.0,19168.75,19512.75,-1.0,9.75,30.0,-228.5,True,-1.0,333.75,30.0,228.5,True
2024-07-26,19163.0,391,19190.75,19073.5,19003.0,19081.25,19294.25,-1.0,3.25,30.0,10.75,True,-1.0,122.75,30.0,-10.75,True
2024-07-29,19285.25,391,19183.0,19302.75,19171.75,19081.0,19198.5,-1.0,7.5,30.0,-71.5,True,-1.0,63.25,30.0,71.5,True
2024-07-30,19288.0,391,19294.0,19131.0,19217.0,19216.0,19322.0,-1.0,4.75,30.0,-424.25,True,-1.0,32.75,30.0,424.25,True
2024-07-31,19371.75,391,18933.5,19135.25,18865.75,18803.0,19147.0,-1.0,18.75,30.0,179.25,True,-1.0,61.0,30.0,-179.25,True
