Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1515,Exit long,2025-05-22 03:16,xL,21420.5,1,428635,-235,-0.05,10,0,0.00,-230,-0.05,-9710,-0.97,0
1515,Entry long,2025-05-22 03:16,L @ 21432,21431.75,1,428635,-235,-0.05,10,0,0.00,-230,-0.05,-9710,-0.97,0
1516,Exit short,2025-05-28 15:34,SAR,21454.5,1,428965,-135,-0.03,10,65,0.02,-135,-0.03,-9845,-0.98,3
1516,Entry short,2025-05-28 15:31,S @ 21448,21448.25,1,428965,-135,-0.03,10,65,0.02,-135,-0.03,-9845,-0.98,3
1517,Exit long,2025-05-28 16:01,xL,21443,1,428955,-105,-0.02,10,0,0.00,-100,-0.02,-9950,-1.00,1
1517,Entry long,2025-05-28 16:00,L @ 21448,21447.75,1,428955,-105,-0.02,10,0,0.00,-100,-0.02,-9950,-1.00,1
1518,Exit short,2025-05-28 17:01,xS,21443,1,428965,95,0.02,10,100,0.02,-20,0.00,-9855,-0.99,1
1518,Entry short,2025-05-28 17:00,S @ 21448,21448.25,1,428965,95,0.02,10,100,0.02,-20,0.00,-9855,-0.99,1
1519,Exit short,2025-05-28 17:17,xS,21453,1,428965,-105,-0.02,10,85,0.02,-100,-0.02,-9960,-1.00,6
1519,Entry short,2025-05-28 17:11,S @ 21448,21448.25,1,428965,-105,-0.02,10,85,0.02,-100,-0.02,-9960,-1.00,6
1520,Exit long,2025-05-29 00:27,xL,21458,1,428955,195,0.05,10,200,0.05,-25,-0.01,-9765,-0.98,0
1520,Entry long,2025-05-29 00:27,L @ 21448,21447.75,1,428955,195,0.05,10,200,0.05,-25,-0.01,-9765,-0.98,0
1521,Exit short,2025-05-29 00:41,xS,21453.5,1,428965,-115,-0.03,10,25,0.01,-110,-0.03,-9880,-0.99,1
1521,Entry short,2025-05-29 00:40,S @ 21448,21448.25,1,428965,-115,-0.03,10,25,0.01,-110,-0.03,-9880,-0.99,1
1522,Exit long,2025-05-29 00:46,xL,21438.5,1,428955,-195,-0.05,10,65,0.02,-190,-0.04,-10075,-1.01,3
1522,Entry long,2025-05-29 00:43,L @ 21448,21447.75,1,428955,-195,-0.05,10,65,0.02,-190,-0.04,-10075,-1.01,3
1523,Exit short,2025-05-29 00:53,SAR,21452.75,1,428965,-100,-0.02,10,165,0.04,-105,-0.02,-10175,-1.02,2
1523,Entry short,2025-05-29 00:51,S @ 21448,21448.25,1,428965,-100,-0.02,10,165,0.04,-105,-0.02,-10175,-1.02,2
1524,Exit long,2025-05-29 00:54,xL,21439.5,1,428955,-175,-0.04,10,0,0.00,-170,-0.04,-10350,-1.03,0
1524,Entry long,2025-05-29 00:54,L @ 21448,21447.75,1,428955,-175,-0.04,10,0,0.00,-170,-0.04,-10350,-1.03,0
1525,Exit short,2025-05-29 01:03,xS,21453.5,1,428965,-115,-0.03,10,95,0.02,-110,-0.03,-10465,-1.05,2
1525,Entry short,2025-05-29 01:01,S @ 21448,21448.25,1,428965,-115,-0.03,10,95,0.02,-110,-0.03,-10465,-1.05,2
1526,Exit long,2025-05-29 01:11,xL,21443,1,428955,-105,-0.02,10,60,0.01,-100,-0.02,-10570,-1.06,1
1526,Entry long,2025-05-29 01:10,L @ 21448,21447.75,1,428955,-105,-0.02,10,60,0.01,-100,-0.02,-10570,-1.06,1
1527,Exit short,2025-05-29 01:16,xS,21454.5,1,428965,-135,-0.03,10,40,0.01,-130,-0.03,-10705,-1.07,1
1527,Entry short,2025-05-29 01:15,S @ 21448,21448.25,1,428965,-135,-0.03,10,40,0.01,-130,-0.03,-10705,-1.07,1
1528,Exit long,2025-05-29 01:40,xL,21453.75,1,428955,110,0.03,10,115,0.03,-10,0.00,-10595,-1.06,0
1528,Entry long,2025-05-29 01:40,L @ 21448,21447.75,1,428955,110,0.03,10,115,0.03,-10,0.00,-10595,-1.06,0
1529,Exit long,2025-05-29 01:57,xL,21443,1,428955,-105,-0.02,10,0,0.00,-100,-0.02,-10700,-1.07,1
1529,Entry long,2025-05-29 01:56,L @ 21448,21447.75,1,428955,-105,-0.02,10,0,0.00,-100,-0.02,-10700,-1.07,1
1530,Exit long,2025-05-29 05:36,SAR,21444,1,428955,-85,-0.02,10,250,0.06,-110,-0.03,-10785,-1.08,4
1530,Entry long,2025-05-29 05:32,L @ 21448,21447.75,1,428955,-85,-0.02,10,250,0.06,-110,-0.03,-10785,-1.08,4
1531,Exit short,2025-05-30 00:32,SAR,21472,1,429345,-105,-0.02,10,0,0.00,-150,-0.03,-10890,-1.09,1
1531,Entry short,2025-05-30 00:31,S @ 21467,21467.25,1,429345,-105,-0.02,10,0,0.00,-150,-0.03,-10890,-1.09,1
1532,Exit short,2025-05-30 00:33,xS,21459.75,1,429345,140,0.03,10,145,0.03,-10,0.00,-10750,-1.07,0
