file,family,scale,scale_anomaly,n,joined,med_dev_pts,frac_within_5pts,order_violations,in_span,ok
glbx-mdp3-20251107.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251110.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251111.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251112.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251113.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20251114.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20251117.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251118.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20251119.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20251120.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20251121.mbp-10_condensed.csv,B,decimal,False,121,121,0.375,1.0,0,True,True
glbx-mdp3-20251124.mbp-10_condensed.csv,B,decimal,False,120,120,0.5,1.0,0,True,True
glbx-mdp3-20251125.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251126.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251127.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251201.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251202.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251203.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251204.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251205.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251208.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251209.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251210.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251211.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251212.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251215.mbp-10_condensed.csv,B,decimal,False,120,120,257.5,0.0,0,True,False
glbx-mdp3-20251216.mbp-10_condensed.csv,B,decimal,False,120,120,247.375,0.0,0,True,False
