window,day,month,fill_ts,direction,risk_pts,dollars,win,exit_reason,r_multiple
pre,2026-05-25,2026-05,2026-05-25T08:10:00-04:00,short,15.5,-320.0,False,stop,-1.0161
golden,2026-05-25,2026-05,2026-05-25T10:06:00-04:00,short,9.75,1835.0,True,target,9.4359
pre,2026-05-26,2026-05,2026-05-26T08:26:00-04:00,long,13.75,435.0,True,target,1.6
golden,2026-05-26,2026-05,2026-05-26T09:44:00-04:00,long,11.5,1235.0,True,target,5.3913
golden,2026-05-26,2026-05,2026-05-26T09:55:00-04:00,long,46.5,135.0,True,target,0.3011
pre,2026-05-27,2026-05,2026-05-27T08:01:00-04:00,short,20.75,-440.0,False,stop,-1.0482
golden,2026-05-27,2026-05,2026-05-27T09:54:00-04:00,long,14.0,-290.0,False,stop,-1.0179
golden,2026-05-27,2026-05,2026-05-27T09:55:00-04:00,long,1.0,-30.0,False,stop,-1.25
pre,2026-05-28,2026-05,2026-05-28T08:21:00-04:00,short,26.75,-560.0,False,stop,-1.0374
pre,2026-05-28,2026-05,2026-05-28T09:13:00-04:00,short,13.5,-280.0,False,stop,-1.0185
golden,2026-05-28,2026-05,2026-05-28T09:41:00-04:00,short,53.0,-545.0,False,stop,-1.0189
golden,2026-05-28,2026-05,2026-05-28T10:08:00-04:00,long,32.25,1620.0,True,target,2.5194
pre,2026-05-29,2026-05,2026-05-29T08:03:00-04:00,short,15.0,-310.0,False,stop,-1.0167
pre,2026-05-29,2026-05,2026-05-29T09:26:00-04:00,long,18.5,255.0,True,target,0.7027
golden,2026-05-29,2026-05,2026-05-29T10:10:00-04:00,short,43.5,887.5,True,target,2.0517
pre,2026-06-01,2026-06,2026-06-01T08:27:00-04:00,long,13.75,-285.0,False,stop,-1.0182
pre,2026-06-01,2026-06,2026-06-01T08:41:00-04:00,long,33.0,-670.0,False,stop,-1.0076
golden,2026-06-01,2026-06,2026-06-01T09:42:00-04:00,short,19.75,-405.0,False,stop,-1.0127
golden,2026-06-01,2026-06,2026-06-01T09:44:00-04:00,long,39.25,-810.0,False,stop,-1.0255
pre,2026-06-02,2026-06,2026-06-02T08:01:00-04:00,short,18.75,-385.0,False,stop,-1.0133
pre,2026-06-02,2026-06,2026-06-02T08:23:00-04:00,long,21.0,-430.0,False,stop,-1.0119
golden,2026-06-02,2026-06,2026-06-02T09:49:00-04:00,long,40.25,1320.0,True,target,1.646
golden,2026-06-04,2026-06,2026-06-04T09:42:00-04:00,short,68.5,1057.5,True,target,1.5511
golden,2026-06-04,2026-06,2026-06-04T10:12:00-04:00,long,86.75,812.5,True,target,0.9424
pre,2026-06-08,2026-06,2026-06-08T08:11:00-04:00,long,26.75,-545.0,False,stop,-1.0093
golden,2026-06-08,2026-06,2026-06-08T09:41:00-04:00,short,41.0,-830.0,False,stop,-1.0061
golden,2026-06-08,2026-06,2026-06-08T09:44:00-04:00,long,63.0,-637.5,False,stop,-1.004
pre,2026-06-09,2026-06,2026-06-09T08:28:00-04:00,long,21.0,1030.0,True,target,2.4643
pre,2026-06-09,2026-06,2026-06-09T08:47:00-04:00,short,30.0,-610.0,False,stop,-1.0083
golden,2026-06-09,2026-06,2026-06-09T09:41:00-04:00,short,59.25,-600.0,False,stop,-1.0042
golden,2026-06-09,2026-06,2026-06-09T09:44:00-04:00,long,69.0,-697.5,False,stop,-1.0036
golden,2026-06-10,2026-06,2026-06-10T09:44:00-04:00,long,171.75,1265.0,True,target,0.7394
golden,2026-06-11,2026-06,2026-06-11T09:41:00-04:00,short,115.0,-1157.5,False,stop,-1.0022
golden,2026-06-11,2026-06,2026-06-11T10:03:00-04:00,long,123.5,-1242.5,False,stop,-1.002
pre,2026-06-12,2026-06,2026-06-12T08:11:00-04:00,long,17.0,-350.0,False,stop,-1.0147
pre,2026-06-12,2026-06,2026-06-12T08:15:00-04:00,short,12.5,1400.0,True,target,5.62
golden,2026-06-12,2026-06,2026-06-12T09:41:00-04:00,long,35.0,-710.0,False,stop,-1.0071
golden,2026-06-12,2026-06,2026-06-12T09:43:00-04:00,short,208.5,-2100.0,False,stop,-1.0048
pre,2026-06-15,2026-06,2026-06-15T08:18:00-04:00,short,17.25,-355.0,False,stop,-1.0145
pre,2026-06-15,2026-06,2026-06-15T09:13:00-04:00,long,18.75,1730.0,True,target,4.6267
golden,2026-06-15,2026-06,2026-06-15T10:01:00-04:00,short,81.0,-817.5,False,stop,-1.0031
pre,2026-06-16,2026-06,2026-06-16T08:40:00-04:00,short,13.25,725.0,True,target,2.7547
golden,2026-06-16,2026-06,2026-06-16T09:41:00-04:00,short,19.75,-405.0,False,stop,-1.0127
golden,2026-06-16,2026-06,2026-06-16T09:42:00-04:00,long,61.25,-620.0,False,stop,-1.0041
pre,2026-06-17,2026-06,2026-06-17T08:11:00-04:00,long,38.75,-785.0,False,stop,-1.0065
golden,2026-06-17,2026-06,2026-06-17T09:45:00-04:00,long,60.5,-612.5,False,stop,-1.0041
golden,2026-06-17,2026-06,2026-06-17T09:51:00-04:00,short,101.25,-1020.0,False,stop,-1.0025
pre,2026-06-18,2026-06,2026-06-18T09:07:00-04:00,long,16.25,1030.0,True,target,3.1846
golden,2026-06-18,2026-06,2026-06-18T09:52:00-04:00,long,76.5,-772.5,False,stop,-1.0033
golden,2026-06-18,2026-06,2026-06-18T09:58:00-04:00,short,109.0,-1097.5,False,stop,-1.0023
pre,2026-06-19,2026-06,2026-06-19T08:01:00-04:00,long,27.5,-560.0,False,stop,-1.0091
pre,2026-06-19,2026-06,2026-06-19T08:19:00-04:00,short,10.0,-210.0,False,stop,-1.025
golden,2026-06-19,2026-06,2026-06-19T09:47:00-04:00,long,30.25,-615.0,False,stop,-1.0083
golden,2026-06-22,2026-06,2026-06-22T09:43:00-04:00,short,120.75,-1215.0,False,stop,-1.0021
golden,2026-06-22,2026-06,2026-06-22T10:13:00-04:00,long,13.5,-280.0,False,stop,-1.0185
golden,2026-06-23,2026-06,2026-06-23T09:41:00-04:00,long,131.25,2140.0,True,target,1.6343
pre,2026-06-24,2026-06,2026-06-24T08:03:00-04:00,long,23.25,-475.0,False,stop,-1.0108
pre,2026-06-24,2026-06,2026-06-24T08:17:00-04:00,short,29.25,-595.0,False,stop,-1.0085
golden,2026-06-24,2026-06,2026-06-24T09:55:00-04:00,long,56.0,-567.5,False,stop,-1.0045
golden,2026-06-24,2026-06,2026-06-24T09:56:00-04:00,long,59.5,-602.5,False,stop,-1.0042
pre,2026-06-25,2026-06,2026-06-25T08:07:00-04:00,long,29.75,-620.0,False,stop,-1.0336
pre,2026-06-25,2026-06,2026-06-25T09:07:00-04:00,short,33.0,1320.0,True,target,2.0076
pre,2026-06-26,2026-06,2026-06-26T09:23:00-04:00,long,29.25,-595.0,False,stop,-1.0085
golden,2026-06-26,2026-06,2026-06-26T09:46:00-04:00,long,34.0,3990.0,True,eod,5.875
pre,2026-06-29,2026-06,2026-06-29T08:51:00-04:00,short,7.75,-165.0,False,stop,-1.0323
pre,2026-06-29,2026-06,2026-06-29T08:55:00-04:00,long,17.5,-360.0,False,stop,-1.0143
