card_id,tv_replay_datetime,window,direction,shape,trigger_price,second_legs,call(take/skip),why
C030,2025-09-29 10:51 ET,NY_AM,DOWN,same_candle,24948.0,"vwap_p1,daily_poc",,
C031,2025-11-10 10:22 ET,NY_AM,UP,same_candle,25650.75,"vwap_p1,daily_poc",,
C032,2026-02-16 03:08 ET,LONDON,UP,sequential,24875.5,vwap_p2,,
C033,2025-11-27 10:44 ET,NY_AM,UP,same_candle,25300.5,vwap_m1,,
C034,2025-10-30 09:33 ET,NY_AM,DOWN,same_candle,26068.25,daily_val,,
C035,2026-01-14 09:38 ET,NY_AM,DOWN,same_candle,25699.5,"vwap_m1,daily_poc",,
C036,2026-06-10 04:02 ET,LONDON,DOWN,same_candle,28923.25,"vwap_m1,daily_val,bb_ma_15m",,
C037,2026-01-16 04:00 ET,LONDON,DOWN,same_candle,25817.25,"vwap_p1,bb_ma_15m,bb_ma_60m",,
C038,2025-11-19 03:46 ET,LONDON,DOWN,same_candle,24604.75,"vwap_p1,daily_vah,bb_ma_60m",,
C039,2025-09-15 03:27 ET,LONDON,DOWN,sequential,24146.25,vwap_p2,,
C040,2025-09-09 09:45 ET,NY_AM,UP,same_candle,23841.25,"vwap,daily_poc,vwap_m1,daily_val,bb_ma_15m,bb_ma_60m",,
C041,2026-07-13 09:36 ET,NY_AM,DOWN,same_candle,29664.0,"daily_poc,vwap_m1",,
C042,2026-05-25 03:09 ET,LONDON,UP,sequential,29966.25,"daily_poc,bb_ma_15m,vwap_p1",,
C043,2026-01-06 09:45 ET,NY_AM,UP,same_candle,25664.5,"vwap,vwap_p1,daily_poc,bb_ma_15m,bb_ma_60m",,
C044,2025-09-04 04:56 ET,LONDON,UP,same_candle,23500.0,daily_poc,,
C045,2026-06-29 09:34 ET,NY_AM,UP,same_candle,29721.5,"vwap_p1,bb_ma_15m,daily_poc,daily_vah",,
C046,2025-11-10 10:39 ET,NY_AM,DOWN,same_candle,25633.5,"vwap_p1,daily_poc",,
C047,2026-05-11 04:08 ET,LONDON,DOWN,same_candle,29296.0,"vwap,bb_ma_15m",,
C048,2026-02-02 04:03 ET,LONDON,DOWN,same_candle,25377.25,vwap,,
C049,2025-10-02 10:24 ET,NY_AM,UP,same_candle,25081.25,"daily_poc,bb_ma_60m,vwap",,
C050,2025-09-15 03:28 ET,LONDON,DOWN,same_candle,24145.25,vwap_p2,,
C051,2025-12-22 10:02 ET,NY_AM,DOWN,same_candle,25721.0,"bb_ma_15m,vwap,vwap_p1,daily_vah",,
C052,2026-01-16 04:54 ET,LONDON,DOWN,sequential,25824.0,"vwap_p1,bb_ma_15m",,
C053,2025-12-24 10:27 ET,NY_AM,DOWN,same_candle,25806.25,"vwap,daily_poc,bb_ma_15m",,
