ft,day,oos,bar,peak_R,R,pl,resume,cvd_roll_dir,cvd_since_dir,imb_roll_dir,absorp_roll,delta_div_roll
2026-03-20 12:06:00+00:00,2026-03-20,True,6,1.6283185840707965,2.221238938053097,502.0,True,172.0,205.0,0.030133146461107218,76.87542087542087,0.0
2026-03-24 12:06:00+00:00,2026-03-24,True,35,1.4782608695652173,1.2608695652173914,261.0,True,624.0,529.0,0.12590799031476999,46.86524822695036,0.0
2026-03-31 12:59:00+00:00,2026-03-31,True,6,1.5357142857142858,-1.0357142857142858,-116.0,False,119.0,125.0,0.021429857734557897,79.61290322580645,0.0
2026-04-02 13:01:00+00:00,2026-04-02,True,3,1.0384615384615385,-1.0256410256410255,-120.0,True,136.0,41.0,0.02864363942712721,109.78034682080924,0.0
2026-04-08 12:02:00+00:00,2026-04-08,True,3,2.06,1.66,332.0,True,223.0,126.0,0.06387854482956173,82.62721893491124,0.0
2026-04-10 12:05:00+00:00,2026-04-10,True,2,1.0588235294117647,-1.0588235294117647,-54.0,False,57.0,19.0,0.029796131730266597,86.95454545454545,0.0
2026-04-13 12:35:00+00:00,2026-04-13,True,15,1.763157894736842,2.5789473684210527,784.0,True,515.0,515.0,0.132697758309714,89.2183908045977,0.0
2026-04-17 12:25:00+00:00,2026-04-17,True,1,1.4065934065934067,-0.0329670329670329,-3.0,True,307.0,357.0,0.06606412739401765,84.87671232876713,0.0
2026-04-20 12:01:00+00:00,2026-04-20,True,30,1.0178571428571428,1.0892857142857142,122.0,True,33.0,-124.0,0.015691868758915834,92.43956043956044,0.0
2026-04-27 12:25:00+00:00,2026-04-27,True,4,1.0980392156862746,1.3823529411764706,141.0,True,469.0,306.0,0.08648349621980454,74.03412969283276,0.0
2026-04-29 12:03:00+00:00,2026-04-29,True,2,1.6176470588235294,3.088235294117647,315.0,True,-50.0,10.0,-0.03221649484536082,49.664,1.0
2026-04-30 13:12:00+00:00,2026-04-30,True,3,1.0153846153846153,4.569230769230769,445.5,True,118.0,41.0,0.02794883941260066,99.34117647058824,0.0
2026-05-01 12:41:00+00:00,2026-05-01,True,2,1.7096774193548387,-1.032258064516129,-96.0,True,629.0,381.0,0.1691314869588599,76.68041237113403,0.0
2026-05-11 12:04:00+00:00,2026-05-11,True,10,1.7228915662650603,1.891566265060241,392.5,True,544.0,463.0,0.1453768038482095,66.23008849557522,0.0
2026-05-18 12:06:00+00:00,2026-05-18,True,30,1.748299319727891,1.7142857142857142,126.0,True,334.0,236.0,0.0729895104895105,53.36443148688047,0.0
2026-05-19 13:07:00+00:00,2026-05-19,True,2,1.121212121212121,1.587878787878788,524.0,True,684.0,262.0,0.11507402422611036,61.27835051546392,0.0
2026-05-22 12:01:00+00:00,2026-05-22,True,2,1.0857142857142856,-1.0571428571428572,-111.0,False,-83.0,-10.0,-0.05070250458155162,54.56666666666667,1.0
2026-05-26 12:26:00+00:00,2026-05-26,True,9,1.4,1.5818181818181818,174.0,True,512.0,399.0,0.18523878437047755,83.75757575757575,0.0
2026-05-29 12:55:00+00:00,2026-05-29,True,3,1.2413793103448276,1.6206896551724137,329.0,True,243.0,48.0,0.10560625814863103,59.0,0.0
2026-06-08 12:11:00+00:00,2026-06-08,True,11,1.3396226415094339,1.8962264150943395,402.0,True,271.0,96.0,0.055159780175045796,86.19298245614036,0.0
2026-06-08 12:11:00+00:00,2026-06-08,True,11,1.3177570093457944,-1.0186915887850467,-218.0,True,271.0,96.0,0.055159780175045796,86.19298245614036,0.0
2026-06-09 12:28:00+00:00,2026-06-09,True,5,2.9863013698630136,1.595890410958904,174.75,True,282.0,335.0,0.08260105448154657,46.92783505154639,0.0
2026-06-15 12:18:00+00:00,2026-06-15,True,3,1.2,1.1090909090909091,122.0,True,175.0,14.0,0.07879333633498424,39.48444444444444,0.0
2026-06-15 13:13:00+00:00,2026-06-15,True,4,1.171875,1.88671875,362.25,True,221.0,158.0,0.10508796956728483,44.04188481675393,0.0
2026-06-15 13:13:00+00:00,2026-06-15,True,8,1.16,4.613333333333333,865.0,True,313.0,203.0,0.13462365591397848,43.45794392523364,0.0
2026-06-16 12:40:00+00:00,2026-06-16,True,4,2.0851063829787235,3.2127659574468086,981.5,True,275.0,103.0,0.04443367264501535,128.9375,0.0
2026-06-16 12:40:00+00:00,2026-06-16,True,4,1.7358490566037736,2.7358490566037736,797.5,True,275.0,103.0,0.04443367264501535,128.9375,0.0
2026-06-18 13:07:00+00:00,2026-06-18,True,7,2.4461538461538463,3.169230769230769,618.0,True,-129.0,172.0,-0.02143925544291175,106.02643171806167,0.0
2026-06-24 12:03:00+00:00,2026-06-24,True,9,1.2295081967213115,0.2663934426229508,56.875,False,73.0,5.0,0.029759478189971465,63.714285714285715,0.0
2026-06-25 13:07:00+00:00,2026-06-25,True,16,1.0,2.0,396.0,True,163.0,214.0,0.0395919358756376,113.57241379310345,0.0
2026-06-26 13:16:00+00:00,2026-06-26,True,3,5.196078431372549,2.019607843137255,618.0,False,526.0,403.0,0.09853877856875234,64.50755287009063,0.0
2026-06-29 12:55:00+00:00,2026-06-29,True,6,2.235294117647059,1.4779411764705883,452.25,True,127.0,56.0,0.06631853785900783,33.89380530973451,0.0
2026-06-29 12:55:00+00:00,2026-06-29,True,6,2.142857142857143,-1.0285714285714285,-324.0,True,127.0,56.0,0.06631853785900783,33.89380530973451,0.0
2026-06-30 12:01:00+00:00,2026-06-30,True,6,1.1145038167938932,1.6488549618320612,324.0,True,101.0,3.0,0.0397168698387731,31.7875,0.0
2026-06-30 12:26:00+00:00,2026-06-30,True,9,1.2054794520547945,0.7465753424657534,218.0,True,217.0,76.0,0.05509012439705509,48.93167701863354,0.0
2026-07-06 12:23:00+00:00,2026-07-06,True,3,1.5662650602409638,-1.0240963855421688,-297.5,False,364.0,186.0,0.14353312302839116,42.44351464435147,0.0
2026-07-10 13:16:00+00:00,2026-07-10,True,6,1.125,4.263888888888889,460.5,True,-83.0,-32.0,-0.030661248614702624,70.77124183006536,0.0
2026-07-10 13:16:00+00:00,2026-07-10,True,8,1.1585365853658536,3.5609756097560976,730.0,True,34.0,-5.0,0.012639405204460967,60.7909604519774,0.0
