day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2024-09-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1700,MOMENTUM,True,1700,-215,1700
2024-09-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,175,MOMENTUM,True,175,5,175
2024-09-18,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,335,MOMENTUM,True,335,219,335
2024-09-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-1035,ROTATION,False,385,385,-1035
2024-09-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,370,MOMENTUM,True,370,64,370
2024-09-23,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,-290,FLAT,False,0,-290,-305
2024-09-24,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-430,FLAT,False,0,-315,-430
2024-09-25,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-260,FLAT,False,0,-585,-260
2024-09-26,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-425,ROTATION,False,218,218,-425
2024-09-27,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,55,ROTATION,False,300,300,55
2024-09-30,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-169,FLAT,False,0,-169,-485
2024-10-01,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-535,FLAT,False,0,0,-535
2024-10-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,275,ROTATION,False,338,338,275
2024-10-03,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,595,MOMENTUM,True,595,0,595
2024-10-04,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,2620,MOMENTUM,True,2620,1872,2620
2024-10-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-105,FLAT,False,0,-22,-105
2024-10-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-520,FLAT,False,0,-245,-520
